rep,ate_pred,policy_risk_proxy,propensity_balance,outcome_mse,hte_std
1,0.5597722284976627,-0.7137184415719177,0.21371958995455287,0.15686781194656296,1.0209250368844498
2,0.5595748468377778,-0.7109801333458755,0.2289509019452438,0.1568518571297917,0.9565890656674296
3,0.5596524513505322,-0.7125414053130499,0.22548900645981806,0.156878943098659,0.9919166475285766
4,0.5592021867655457,-0.7124122981477043,0.21551786924396665,0.15686623511544792,1.0015079736620462
5,0.5592227572072649,-0.711809800000423,0.22295183061735857,0.15687185445751223,0.9772904822366196
6,0.560331975068099,-0.7126919339604081,0.22358208062317464,0.15688687694965808,0.9853180530627268
7,0.559468783380928,-0.7113612002759576,0.2250371720514004,0.15687717227974693,0.9726449180377356
8,0.5604745370615254,-0.710886937295462,0.23191517568742137,0.15688086158098322,0.9471399477323361
9,0.559110414193883,-0.7112557653578857,0.22292766980234557,0.1568541739572692,0.9758519411827025
10,0.5592544479627205,-0.7093811336991097,0.23274662350605912,0.156865836470155,0.9338489296546016
11,0.5602914336613763,-0.7134456225555451,0.21668339481194654,0.15689274550914087,1.0018033845475387
12,0.560171579132015,-0.7120906628716578,0.22679124200302347,0.1569070295601418,0.9757807003061971
13,0.5586652455899019,-0.7125932764200621,0.2230252397740239,0.15689416216220747,1.000382041317331
14,0.5579291628305456,-0.7109217849656964,0.22613963023743,0.15688506940665062,0.9725131118726063
15,0.559568262532534,-0.711524520364239,0.2311191520914032,0.15689157766394032,0.9695326420694661
16,0.5590748607240741,-0.7111341245719202,0.22656424507750028,0.15687145605282496,0.9743020609440733
17,0.5597536414963973,-0.7129963242366669,0.2189822809561799,0.15688642675280431,0.99800993779364
18,0.5606072914989928,-0.7123612126886175,0.2223627283590115,0.15688379769239427,0.9768698468465095
19,0.5591728912635363,-0.710719975973052,0.22763575055216434,0.15690529729871117,0.9553391664126538
20,0.5596669714248722,-0.7115978838119068,0.22339846517845918,0.15687124394670118,0.9703345614475707
21,0.5609786890353942,-0.7124246511898547,0.2261760632544595,0.15688833921063447,0.9718661255228379
22,0.5599423105594303,-0.7113310892016554,0.23020735146649907,0.1568937301361038,0.9570326920290441
23,0.5594078684486983,-0.7116410156353199,0.22347659024781952,0.1568632769702901,0.9647018992871468
24,0.5589541411934488,-0.7106650112868683,0.22686112064942432,0.15689686777706777,0.971287105931459
25,0.5598976017784429,-0.7110409807374999,0.2324085336798989,0.15690926907625963,0.9505396416396652
26,0.5597105766910829,-0.7115197531232187,0.22931606774667346,0.15687673894021834,0.9724087023890123
27,0.5592622838531194,-0.7119372923447876,0.22828651150043322,0.15690018559269323,0.9850155210504096
28,0.5596839799158673,-0.7124697851023005,0.222036404897218,0.15686873909810928,0.9898012030043525
29,0.5589766923383265,-0.7111038296803046,0.23164245037217412,0.15687630743921085,0.9634350394386544
30,0.56012359246869,-0.7117518365956006,0.2298739101170506,0.15690199049707074,0.9664965414732978
31,0.5600723028405499,-0.712393763362564,0.22248682737300507,0.1568608001631524,0.982253064995733
32,0.5601355605177931,-0.7127520200016897,0.22404077766442332,0.1568740130818769,0.9908991491427274
33,0.5598709971995682,-0.7110386738018076,0.22905153629523656,0.15685620938243133,0.952759986923327
34,0.5598175833315556,-0.7098596644545514,0.2377990146358936,0.15687739914455218,0.9301418567421523
35,0.5609661977738934,-0.7129788486554046,0.2225635077290632,0.1569027138394014,0.9797876705104931
36,0.5597342689950364,-0.7130915308710333,0.2198631961975367,0.15686407004452071,1.000870594115953
37,0.5604511878666039,-0.7115484517338017,0.23084651879588547,0.15689692851808174,0.9541111731951017
38,0.5585738586534338,-0.7112219588291626,0.22691640353030829,0.1568765174411204,0.979224633490036
39,0.5594619001758648,-0.7112543923280938,0.2268585105534363,0.1568657872584582,0.9655895671737279
40,0.5592996916805582,-0.711975557393301,0.222702079034641,0.1568998578206027,0.990184953970142
41,0.5594917362453252,-0.7116605533345489,0.22079433336708731,0.15690021281476899,0.9734458742199803
42,0.5598492023599593,-0.7110716217422819,0.23109532606587446,0.15687781441621396,0.9596217509331709
43,0.5600545794400118,-0.7122560693149923,0.22170566968544514,0.15688524226058112,0.9768930718033803
44,0.5600647863483255,-0.7110382032861168,0.23013211300892977,0.15687648818440414,0.950656471126466
45,0.5597390889918181,-0.7125248207014472,0.22222840625686757,0.15686674519610963,0.994937523128514
46,0.5601529354815051,-0.7128830941282558,0.21797817210174375,0.15687468004274419,0.9912634355248063
47,0.559605184775637,-0.7114166880221174,0.2307937447461368,0.1568861430689146,0.9653449483379216
48,0.5591064769496785,-0.7118408909377257,0.2228446465410745,0.15688187183106606,0.9896317869209944
49,0.5594311188261406,-0.7117008027608756,0.2281323770804249,0.15686772935730323,0.9828120316104453
50,0.5600938257582931,-0.7125807822727782,0.22378366937360972,0.15688607137135585,0.9840163016713362
