rep,pehe,ate_error,policy_risk
0,0.8510479270076879,0.21994798082858757,0.03362885429126546
1,0.8789683898406669,0.16909286156419068,0.08544256514056733
2,0.7978395003456578,0.07406121565032908,0.0
3,1.933901434806771,0.9602372529276457,0.32977182241523423
4,3.2404462390182958,0.7869870622729227,0.4732973355506264
5,1.0102804210576517,0.41127450334422466,0.07743882001522198
6,0.5960675039712849,0.25309490238006216,0.0
7,1.934491554862781,0.5359999866285805,0.35907297747023054
8,22.450375504099174,4.812288205520614,2.108688243165632
9,9.945197490704812,3.8951212085256737,0.2701356828236146
10,2.1215185720280685,0.6385158490098717,0.06664787140695094
11,3.79391425059386,1.8415509845629199,0.3947147099541825
12,32.95484038074834,7.663050888571454,1.911794442306284
13,0.787002168537281,0.04985983296153229,0.0
14,1.7943497273693436,0.0087873545549777,0.2150040191198049
15,1.2493105421258484,0.29408956650766527,0.03337322921567946
16,3.3435530446397457,1.2555112888987674,0.35955944233984666
17,2.972639003303055,0.8933804090425599,0.26650858622513596
18,2.9726856491843003,1.2124449283767538,0.530955925547553
19,0.8041405569019263,0.10134648313060524,0.027011935024255595
20,9.882576743849677,1.0348118906923118,0.4774445534066867
21,1.3753266323226394,0.3925056338952575,0.10492255925898585
22,2.607741429915049,0.7190928599475597,0.2628618025588747
23,6.457599319852845,2.2585789501143125,0.5244712725175613
24,3.0240334756382237,0.9051378572993154,0.2078885126336607
25,19.87873065992023,8.506343731480998,1.0128189385139774
26,1.3543473193622506,0.04425425312732045,0.06252624237434426
27,37.8191414720171,10.956090397733158,1.4423422402655295
28,3.1763191514376836,1.3819393401494797,0.18402378911355824
29,2.0390474567816073,0.2644091769751924,0.17800634082453987
30,2.864633626634121,0.18876572807358416,0.4524301998734299
31,0.786905541607031,0.22982777572178703,0.0
32,2.514715917543989,0.675377616852348,0.30568369688689917
33,36.633854780348095,15.03129947091032,2.951663343362636
34,5.223825724543006,2.209705380904728,0.7490234070957454
35,5.22883220165908,0.631058863616266,0.5092158824081252
36,9.378846704919415,3.1152177081339145,0.559867242484608
37,1.7842203417377414,0.45067252680395686,0.14738147279588618
38,8.35835169193916,1.7791675159952458,0.7683679458303654
39,3.401867657870332,1.6559895916963967,0.3987852086069457
40,1.2308193615823189,0.48324428594133506,0.05945280986384934
41,0.7005157366161752,0.05810939006826743,0.015293499429314667
42,1.50491254972745,0.4368073666799175,0.18042171689269082
43,2.696668507061495,0.6169213735038532,0.30584329597076004
44,4.39197354044398,0.9613617868359667,0.15867121788606403
45,3.9659536195793357,0.23952202916051668,0.30902546260175606
46,7.170099215434417,3.687597307862487,0.8168239069139425
47,1.5460607671242341,0.03753864181837585,0.07115630724416623
48,3.429401535783816,0.8304055276445124,0.4097822362275986
49,2.1971684198139148,1.2048155893076937,0.17744321688663145
50,1.9189700910062317,0.3219582497971607,0.25528291297637973
51,2.7147765990640433,0.1278855030579633,0.1327562400463133
52,13.770970819102788,2.801556556006537,0.8274185113688868
53,6.6568317816003795,3.838651687785887,0.4146621170194007
54,1.5855935275103434,0.5661516486780429,0.20825065467381826
55,0.4839273019275402,0.14701612940015485,0.0
56,0.8670714665279153,0.04843822621519234,0.0
57,2.496132134583126,0.5869766275582631,0.1523826148066307
58,1.0443982619960235,0.26452957123448995,0.07640272258196454
59,11.969394173826524,6.169537693594714,0.7667068421369521
60,0.6711109441474172,0.13966213416468287,0.0
61,2.0659968647129996,1.1954308457945548,0.256234331614436
62,2.6289495593196444,1.1476714553521266,0.332102968068095
63,2.7539659608660143,1.1335493611521135,0.287318200511937
64,3.9364307377639403,0.8781912665430891,0.19583330743126942
65,1.2060335919007963,0.09571218305445406,0.04974471941584297
66,1.0758516289383626,0.3184751311920362,0.12599468816721468
67,20.900352380741165,6.756237218518467,0.5361572128879679
68,1.6662418783310111,0.6129168778682739,0.15428149008793948
69,0.38397000692514704,0.14064687681454302,0.0
70,7.1267241141832205,2.071259220027799,0.7521700644204197
71,0.3336627449330448,0.021441073325875415,0.0
72,1.2794827667445603,0.31157589058188906,0.28708141225190253
73,0.6983593250964432,0.0020832171045395143,0.0
74,0.42569652422691107,0.04322005131375306,0.0
75,5.731592770788019,0.9083749900824509,0.3786269203117506
76,0.8413138270258221,0.17724631559223436,0.0
77,0.8232638781511518,0.1441675822452484,0.0
78,0.7912312541203425,0.21829807717048588,0.017075177197278652
79,0.676043673248867,0.14035987283233142,0.0
80,17.765072244789202,3.0376871219388297,0.9061080287671107
81,9.541264757860993,2.4697088346029847,0.002763157427517342
82,3.8612121492363536,0.7282147674186539,0.2496050380724867
83,15.764336448960133,5.455610841056883,0.4215863051817213
84,14.579688577916922,3.5725210220381665,0.7351868424553399
85,14.503119793310018,4.231132898479715,0.947615963100284
86,2.5021678001538445,1.2475111647384391,0.36153098464831923
87,0.4406869754800531,0.011693305900344342,0.0
88,2.9873172607449483,1.7468899648776532,0.2537226618494077
89,2.04726141889889,0.026547282663938798,0.08154589763976484
90,0.8161051013292451,0.452773870042523,0.0
91,2.8091836055232022,0.1434814119606691,0.19818210696441427
92,16.310544247052803,0.943497297829893,0.2940269728347306
93,1.2322144717469348,0.05394265046976976,0.008573072525815609
94,2.052065814417342,0.6215652250120325,0.31066968471407136
95,2.1459259177302177,0.747888963167719,0.161169128647299
96,2.1381931899812803,0.7661418146762013,0.295980948851082
97,12.951022198681311,7.930017418966922,1.1769437756531052
98,4.0081567460226175,0.7523575320769265,0.16660577849700667
99,2.4193550511990485,0.5268210330346212,0.15173974126837061
